rs,base_estimator,feature_type,test_type,sgl_method,sgl_stacks,pgm,psl,auc_diff_mean,ap_diff_mean,auc,ap,count,dataset
1,lr,limited,inductive,holdout,1,None,None,-0.01624477617808904,0.0003046477459444835,0.6459013008479803,0.1709950505886489,10,youtube
1,lr,limited,inductive,holdout,1,mrf,None,0.07059111073237137,0.0431377803778034,0.7449099465867638,0.20837558909329598,10,youtube
1,lr,limited,inductive,holdout,1,psl,mle,-0.1542674074920789,-0.06923477278734037,0.5319685074374435,0.10542629425941848,10,youtube
1,lr,limited,inductive,holdout,2,None,None,-0.01637082674483814,-0.005461852672993994,0.63650379849203,0.16678019852097964,10,youtube
1,lr,limited,inductive,holdout,2,mrf,None,0.07031716337504618,0.03885501251898031,0.7392018144383766,0.2046226989446172,10,youtube
1,lr,limited,inductive,holdout,2,psl,mle,-0.17048443775544403,-0.07588928745552194,0.5062005160745706,0.09705099760571356,10,youtube
1,lr,full,full,None,0,None,None,0.0,0.0,0.8773037100605968,0.7854713547251413,10,twitter
1,lr,full,full,None,0,mrf,None,-0.0019743318197071092,0.011709917320737756,0.8698096764669917,0.7889505955464385,10,twitter
1,lr,full,full,None,0,psl,mle,-0.06781641012926344,-0.14162890131331762,0.8190735840909598,0.6392570858334778,8,twitter
1,lr,full,full,holdout,1,None,None,-0.08512985929073565,-0.17912172315481095,0.7777729316241832,0.5799729048451111,10,twitter
1,lr,full,full,holdout,1,mrf,None,0.02893331153490315,0.07403888207940963,0.9046168304433929,0.8459568311082808,10,twitter
1,lr,full,full,holdout,1,psl,mle,-0.0543086557658331,-0.07233719643501299,0.8616565960853887,0.7082324378393257,8,twitter
1,lr,full,full,holdout,2,None,None,-0.10893837518831458,-0.21236760950698255,0.7518460139862136,0.537807691367318,10,twitter
1,lr,full,full,holdout,2,mrf,None,0.0018921359758494517,0.027264161360396832,0.8731263640263425,0.78939833040207,10,twitter
1,lr,full,full,holdout,2,psl,mle,-0.04694601524777893,-0.08916977549210742,0.8585114954298106,0.6951394554189506,8,twitter
1,lr,full,inductive,None,0,None,None,0.0,0.0,0.8623142781584898,0.7424427450056204,10,twitter
1,lr,full,inductive,None,0,mrf,None,-0.00023064324380706047,0.015269058881352316,0.856833167452741,0.7511278977746182,10,twitter
1,lr,full,inductive,None,0,psl,mle,-0.056279428734754146,-0.11088807363166432,0.8371698959058848,0.6837900293763679,9,twitter
1,lr,full,inductive,holdout,1,None,None,0.04423912075918267,0.10107039573553814,0.9077569886691942,0.8233477656759641,10,twitter
1,lr,full,inductive,holdout,1,mrf,None,0.03346046080373005,0.09091753471488576,0.8937519192144807,0.8146019070457644,10,twitter
1,lr,full,inductive,holdout,1,psl,mle,-0.04002160547959134,-0.04255533909390915,0.8734386689085176,0.7392224224138466,9,twitter
1,lr,full,inductive,holdout,2,None,None,0.006924770829660065,0.011036530119925036,0.8724487047376486,0.7490556995481774,10,twitter
1,lr,full,inductive,holdout,2,mrf,None,0.001620702700108123,0.02794747963480316,0.8612148327457907,0.7504249492966067,10,twitter
1,lr,full,inductive,holdout,2,psl,mle,-0.05320828455765625,-0.0864725099188741,0.8510496958329292,0.6853027909444267,9,twitter
1,lr,limited,full,None,0,None,None,0.0,0.0,0.7406756262713083,0.5425190384420496,10,twitter
1,lr,limited,full,None,0,mrf,None,0.019701443570277498,0.022355273239926605,0.7529266804646816,0.5678160925045722,10,twitter
1,lr,limited,full,None,0,psl,mle,-0.06799920019451375,-0.10690335422739973,0.6948551343217815,0.38320472423007873,8,twitter
1,lr,limited,full,holdout,1,None,None,0.03256546722994942,0.03476901047057534,0.7777729316241832,0.5799729048451111,10,twitter
1,lr,limited,full,holdout,1,mrf,None,0.03536478358248403,0.04062518850254191,0.7783937261424256,0.592811683577929,10,twitter
1,lr,limited,full,holdout,1,psl,mle,-0.06461120594378252,-0.08929173793184025,0.7222014274408938,0.4162072834989371,8,twitter
1,lr,limited,full,holdout,2,None,None,0.008756951332370488,0.0015231241184037348,0.7518460139862136,0.537807691367318,10,twitter
1,lr,limited,full,holdout,2,mrf,None,0.02199447114450607,0.026406022065742253,0.7596225341611567,0.5656106261385568,10,twitter
1,lr,limited,full,holdout,2,psl,mle,-0.11895146827155444,-0.1375505077105459,0.6668635492657449,0.35005553169234277,8,twitter
1,lr,limited,inductive,None,0,None,None,0.0,0.0,0.7123189090753849,0.4615134261134664,10,twitter
1,lr,limited,inductive,None,0,mrf,None,0.020555277320813657,0.022428504239807637,0.7282863757910203,0.4884305193046331,10,twitter
1,lr,limited,inductive,None,0,psl,mle,-0.05802168238426772,-0.08865953062136635,0.6767230108198534,0.36854836161731835,9,twitter
1,lr,limited,inductive,holdout,1,None,None,0.03382429598425092,0.03538374602171131,0.75494250628775,0.5058922646721286,10,twitter
1,lr,limited,inductive,holdout,1,mrf,None,0.03663076700910021,0.04642803946318146,0.7588011409776081,0.5238319776793863,10,twitter
1,lr,limited,inductive,holdout,1,psl,mle,-0.05256277152610981,-0.07323658263585532,0.7127321749011146,0.40857389943620803,9,twitter
1,lr,limited,inductive,holdout,2,None,None,0.00808698324506818,0.002642079358992672,0.7286529233576071,0.46330828964114346,10,twitter
1,lr,limited,inductive,holdout,2,mrf,None,0.021555507634481073,0.029119695182323435,0.739406396436404,0.49534353149040844,10,twitter
1,lr,limited,inductive,holdout,2,psl,mle,-0.10125999460596062,-0.11108928120734794,0.6681982375183517,0.35581972300305953,9,twitter
